Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Sierra Leone,Africa,7795,98,1,,1,125,2,,,
Mexico,Americas,7709747,5980,,,,335011,260,,,
Peru,Americas,4524748,13723,,,,220831,670,,,
Armenia,Europe,451831,15248,,,,8777,296,,,
Montserrat,Americas,1403,28066,,,,8,160,,,
Spain,Europe,13980340,29536,,,,121852,257,,,
Guinea,Africa,38572,294,,,,468,4,,,
Germany,Europe,38437756,46218,,,,174979,210,,,
Senegal,Africa,89076,532,,,,1971,12,,,
Kyrgyzstan,Europe,88953,1363,,,,1024,16,,,
Tajikistan,Europe,17786,186,,,,125,1,,,
Uzbekistan,Europe,175081,523,,,,1016,3,,,
Ghana,Africa,171966,553,34,,34,1462,5,,,
Monaco,Europe,17181,43780,,,,67,171,,,
Iran (Islamic Republic of),Eastern Mediterranean,7627186,9081,,,,146811,175,,,
Saint Barthélemy,,5507,55711,,,,5,51,,,
Burundi,Africa,54569,459,,,,15,,,,
Vanuatu,Western Pacific,12019,3913,,,,14,5,,,
Icvanuatu,Other,12,,,,,0,,,,
Lesotho,Africa,36138,1687,,,,709,33,,,
Guernsey,,35326,54796,,,,67,104,,,
United States of America,Americas,103436829,31250,,,,1186079,358,349,,349
Bolivia (Plurinational State of),Americas,1212131,10384,,,,22387,192,,,
Netherlands (Kingdom of the),Europe,8636082,49611,54,,54,22986,132,,,
Venezuela (Bolivarian Republic of),Americas,552695,1944,,,,5856,21,,,
Australia,Western Pacific,11836372,46417,4399,17,4399,25165,99,17,,17
Brunei Darussalam,Western Pacific,343851,78598,25,6,25,178,41,,,
Democratic Republic of the Congo,Africa,99338,111,,,,1468,2,,,
Chefoo,Other,5,,,,,0,,,,
Réunion,,494595,55243,,,,921,103,,,
"Bonaire, Saint Eustatius and Saba",Americas,11922,,,,,41,,,,
Saudi Arabia,Eastern Mediterranean,841469,2417,,,,9646,28,,,
French Polynesia,Western Pacific,79302,28231,1,,1,650,231,,,
Republic of Moldova,Europe,635570,15755,47,1,47,12233,303,,,
Bosnia and Herzegovina,Europe,403637,12303,4,,4,16388,500,,,
India,South-East Asia,45036197,3263,624,,624,533581,39,7,,7
Sint Maarten (Dutch part),Americas,11051,25771,,,,92,215,,,
Afghanistan,Eastern Mediterranean,233472,600,,,,7985,21,,,
Jordan,Eastern Mediterranean,1746997,17122,,,,14122,138,,,
Pakistan,Eastern Mediterranean,1580631,716,,,,30656,14,,,
Morocco,Eastern Mediterranean,1279038,3465,,,,16304,44,,,
Indonesia,South-East Asia,6828969,2497,6,,6,162058,59,,,
New Caledonia,Western Pacific,80064,28044,,,,314,110,,,
Cook Islands,Western Pacific,7324,41699,,,,2,11,,,
Luxembourg,Europe,391319,62500,13,2,13,1000,160,,,
Denmark,Europe,3434977,58992,38,1,38,9666,166,3,,3
Sweden,Europe,2751651,26644,79,1,79,27272,264,3,,3
Italy,Europe,26720158,44801,125,,125,196936,330,,,
Maldives,South-East Asia,186694,34538,,,,316,58,,,
Czechia,Europe,4759172,44503,59,1,59,43503,407,,,
Fesco,Other,4,,,,,0,,,,
Pitcairn,,4,8000,,,,0,,,,
Cambodia,Western Pacific,139103,832,,,,3056,18,,,
Slovenia,Europe,1355872,64693,5,,5,10055,480,1,,1
Puerto Rico,Americas,1252713,43788,,,,5938,208,,,
Yemen,Eastern Mediterranean,11945,40,,,,2159,7,,,
Nepal,South-East Asia,1003450,3444,,,,12031,41,,,
Poland,Europe,6662411,17552,85,,85,120709,318,,,
Saint Pierre and Miquelon,,3426,59120,,,,2,35,,,
Hungary,Europe,2230351,22830,26,,26,49051,502,,,
El Salvador,Americas,201865,3112,1,,1,4230,65,,,
Falkland Islands (Malvinas),,1923,55211,,,,0,,,,
Equatorial Guinea,Africa,17130,1221,,,,183,13,,,
Costa Rica,Americas,1230653,24158,,,,9368,184,,,
Brazil,Americas,37519960,17652,,,,702116,330,,,
Cayman Islands,Americas,31472,47888,,,,37,56,,,
Slovakia,Europe,1877723,34404,3,,3,21226,389,,,
Türkiye,Europe,17004714,20162,,,,101419,120,,,
Norway,Europe,1507388,28083,54,1,54,5732,107,,,
Guam,Western Pacific,52287,30980,,,,419,248,,,
Kiribati,Western Pacific,5085,4257,,,,24,20,,,
Kazakhstan,Europe,1503687,8008,,,,19072,102,,,
Barbados,Americas,110592,38484,1,,1,593,206,,,
Panama,Americas,1044315,24203,,,,8704,202,1,,1
Côte d'Ivoire,Africa,88421,335,5,,5,835,3,,,
Estonia,Europe,610335,45925,7,1,7,2998,226,,,
Kuwait,Eastern Mediterranean,667193,15623,,,,2570,60,,,
Greece,Europe,5632043,52545,1325,12,1325,39003,364,6,,6
Chile,Americas,5399561,28246,353,2,353,62669,328,28,,28
United Republic of Tanzania,Africa,43225,72,,,,846,1,,,
Wallis and Futuna,Western Pacific,3760,33434,,,,9,80,,,
Solomon Islands,Western Pacific,25954,3779,,,,199,29,,,
New Zealand,Western Pacific,2582892,53562,,,,3944,82,,,
Myanmar,South-East Asia,642044,1180,31,,31,19494,36,,,
Malaysia,Western Pacific,5279145,16311,,,,37349,115,,,
Papua New Guinea,Western Pacific,46864,524,,,,670,7,,,
Iraq,Eastern Mediterranean,2465545,6130,,,,25375,63,,,
Mongolia,Western Pacific,1011455,30853,7,,7,2136,65,,,
American Samoa,Western Pacific,8359,15144,,,,34,62,,,
Qatar,Eastern Mediterranean,514524,17859,,,,690,24,,,
Libya,Eastern Mediterranean,507269,7382,,,,6437,94,,,
Switzerland,Europe,4453465,51458,80,1,80,14188,164,,,
South Africa,Africa,4072673,6867,12,,12,102595,173,,,
Central African Republic,Africa,15440,320,,,,113,2,,,
Antigua and Barbuda,Americas,9106,9299,,,,146,149,,,
Sri Lanka,South-East Asia,672754,3142,,,,16899,79,,,
Portugal,Europe,5643357,54812,88,1,88,28143,273,4,,4
Oman,Eastern Mediterranean,399449,7822,,,,4628,91,,,
North Macedonia,Europe,350583,16828,3,,3,9977,479,,,
Ireland,Europe,1735643,34962,163,3,163,9593,193,1,,1
Lithuania,Europe,1366123,48893,88,3,88,9803,351,1,,1
Saint Martin (French part),,12324,31879,,,,46,119,,,
Ecuador,Americas,1076089,6099,124,1,124,36048,204,,,
Sudan,Eastern Mediterranean,63993,146,,,,5046,12,,,
Palau,Western Pacific,6332,34999,42,232,42,10,55,,,
